**語言標識**      **國家地區**            

  zh_CN            簡體中文(中國)            
  zh_TW            繁體中文(台灣地區)         
  zh_HK            繁體中文(香港)            
  en_HK            英語(香港)               
  en_US            英語(美國)               
  en_GB            英語(英國)               
  en_WW            英語(全球)               
  en_CA            英語(加拿大)              
  en_AU            英語(澳大利亞)            
  en_IE            英語(愛爾蘭)              
  en_FI            英語(芬蘭)               
  fi_FI            芬蘭語(芬蘭)              
  en_DK            英語(丹麥)               
  da_DK            丹麥語(丹麥)              
  en_IL            英語(以色列)              
  he_IL            希伯來語(以色列)          
  en_ZA            英語(南非)               
  en_IN            英語(印度)               
  en_NO            英語(挪威)               
  en_SG            英語(新加坡)              
  en_NZ            英語(新西蘭)              
  en_ID            英語(印度尼西亞)          
  en_PH            英語(菲律賓)              
  en_TH            英語(泰國)               
  en_MY            英語(馬來西亞)            
  en_XA            英語(阿拉伯)              
  ko_KR            韓文(韓國)               
  ja_JP            日語(日本)               
  nl_NL            荷蘭語(荷蘭)              
  nl_BE            荷蘭語(比利時)            
  pt_PT            葡萄牙語(葡萄牙)          
  pt_BR            葡萄牙語(巴西)            
  fr_FR            法語(法國)               
  fr_LU            法語(盧森堡)              
  fr_CH            法語(瑞士)               
  fr_BE            法語(比利時)              
  fr_CA            法語(加拿大)              
  es_LA            西班牙語(拉丁美洲)         
  es_ES            西班牙語(西班牙)          
  es_AR            西班牙語(阿根廷)          
  es_US            西班牙語(美國)            
  es_MX            西班牙語(墨西哥)          
  es_CO            西班牙語(哥倫比亞)         
  es_PR            西班牙語(波多黎各)         
  de_DE            德語(德國)               
  de_AT            德語(奧地利)              
  de_CH            德語(瑞士)               
  ru_RU            俄語(俄羅斯)              
  it_IT            意大利語(意大利)          
  el_GR            希臘語(希臘)              
  no_NO            挪威語(挪威)              
  hu_HU            匈牙利語(匈牙利)          
  tr_TR            土耳其語(土耳其)          
  cs_CZ            捷克語(捷克共和國)         
  sl_SL            斯洛文尼亞語              
  pl_PL            波蘭語(波蘭)              
  sv_SE            瑞典語(瑞典)              
  es_CL            西班牙語 (智利)           
